"state","period_start","period_end","duration"
"Idle","2021-03-18 06:00:00+01","2021-03-18 06:04:06+01","00:04:06"
"Intermediate","2021-03-18 06:04:06+01","2021-03-18 06:04:07+01","00:00:01"
"Idle","2021-03-18 06:04:07+01","2021-03-18 06:08:35+01","00:04:28"
"Intermediate","2021-03-18 06:08:35+01","2021-03-18 06:08:37+01","00:00:02"
"Idle","2021-03-18 06:08:37+01","2021-03-18 06:08:46+01","00:00:09"
"Intermediate","2021-03-18 06:08:46+01","2021-03-18 06:08:48+01","00:00:02"
"Idle","2021-03-18 06:08:48+01","2021-03-18 06:08:53+01","00:00:05"
"Intermediate","2021-03-18 06:08:53+01","2021-03-18 06:08:55+01","00:00:02"
"Idle","2021-03-18 06:08:55+01","2021-03-18 06:11:07+01","00:02:12"
"Intermediate","2021-03-18 06:11:07+01","2021-03-18 06:11:08+01","00:00:01"
"Idle","2021-03-18 06:11:08+01","2021-03-18 06:11:44+01","00:00:36"
"Active","2021-03-18 06:11:44+01","2021-03-18 06:11:45+01","00:00:01"
"Intermediate","2021-03-18 06:11:45+01","2021-03-18 06:11:46+01","00:00:01"
"Active","2021-03-18 06:11:46+01","2021-03-18 06:11:48+01","00:00:02"
"Intermediate","2021-03-18 06:11:48+01","2021-03-18 06:11:51+01","00:00:03"
"Idle","2021-03-18 06:11:51+01","2021-03-18 06:11:52+01","00:00:01"
"Intermediate","2021-03-18 06:11:52+01","2021-03-18 06:11:53+01","00:00:01"
"Active","2021-03-18 06:11:53+01","2021-03-18 06:11:56+01","00:00:03"
"Intermediate","2021-03-18 06:11:56+01","2021-03-18 06:11:58+01","00:00:02"
"Idle","2021-03-18 06:11:58+01","2021-03-18 06:12:01+01","00:00:03"
"Intermediate","2021-03-18 06:12:01+01","2021-03-18 06:12:04+01","00:00:03"
"Idle","2021-03-18 06:12:04+01","2021-03-18 06:12:14+01","00:00:10"
"Intermediate","2021-03-18 06:12:14+01","2021-03-18 06:12:16+01","00:00:02"
"Idle","2021-03-18 06:12:16+01","2021-03-18 06:12:21+01","00:00:05"
"Intermediate","2021-03-18 06:12:21+01","2021-03-18 06:12:23+01","00:00:02"
"Idle","2021-03-18 06:12:23+01","2021-03-18 06:12:24+01","00:00:01"
"Intermediate","2021-03-18 06:12:24+01","2021-03-18 06:12:25+01","00:00:01"
"Idle","2021-03-18 06:12:25+01","2021-03-18 06:12:26+01","00:00:01"
"Intermediate","2021-03-18 06:12:26+01","2021-03-18 06:12:29+01","00:00:03"
"Active","2021-03-18 06:12:29+01","2021-03-18 06:12:30+01","00:00:01"
"Intermediate","2021-03-18 06:12:30+01","2021-03-18 06:12:32+01","00:00:02"
"Idle","2021-03-18 06:12:32+01","2021-03-18 06:12:41+01","00:00:09"
"Intermediate","2021-03-18 06:12:41+01","2021-03-18 06:12:42+01","00:00:01"
"Idle","2021-03-18 06:12:42+01","2021-03-18 06:12:45+01","00:00:03"
"Intermediate","2021-03-18 06:12:45+01","2021-03-18 06:12:46+01","00:00:01"
"Idle","2021-03-18 06:12:46+01","2021-03-18 06:12:48+01","00:00:02"
"Intermediate","2021-03-18 06:12:48+01","2021-03-18 06:12:49+01","00:00:01"
"Active","2021-03-18 06:12:49+01","2021-03-18 06:12:50+01","00:00:01"
"Intermediate","2021-03-18 06:12:50+01","2021-03-18 06:12:53+01","00:00:03"
"Active","2021-03-18 06:12:53+01","2021-03-18 06:12:54+01","00:00:01"
"Intermediate","2021-03-18 06:12:54+01","2021-03-18 06:12:55+01","00:00:01"
"Idle","2021-03-18 06:12:55+01","2021-03-18 06:12:57+01","00:00:02"
"Intermediate","2021-03-18 06:12:57+01","2021-03-18 06:12:58+01","00:00:01"
"Active","2021-03-18 06:12:58+01","2021-03-18 06:12:59+01","00:00:01"
"Intermediate","2021-03-18 06:12:59+01","2021-03-18 06:13:02+01","00:00:03"
"Idle","2021-03-18 06:13:02+01","2021-03-18 06:13:04+01","00:00:02"
"Intermediate","2021-03-18 06:13:04+01","2021-03-18 06:13:10+01","00:00:06"
"Active","2021-03-18 06:13:10+01","2021-03-18 06:13:11+01","00:00:01"
"Intermediate","2021-03-18 06:13:11+01","2021-03-18 06:13:12+01","00:00:01"
"Idle","2021-03-18 06:13:12+01","2021-03-18 06:13:14+01","00:00:02"
"Active","2021-03-18 06:13:14+01","2021-03-18 06:13:15+01","00:00:01"
"Intermediate","2021-03-18 06:13:15+01","2021-03-18 06:13:24+01","00:00:09"
"Active","2021-03-18 06:13:24+01","2021-03-18 06:13:25+01","00:00:01"
"Intermediate","2021-03-18 06:13:25+01","2021-03-18 06:13:27+01","00:00:02"
"Active","2021-03-18 06:13:27+01","2021-03-18 06:13:28+01","00:00:01"
"Intermediate","2021-03-18 06:13:28+01","2021-03-18 06:13:29+01","00:00:01"
"Idle","2021-03-18 06:13:29+01","2021-03-18 06:13:39+01","00:00:10"
"Intermediate","2021-03-18 06:13:39+01","2021-03-18 06:13:40+01","00:00:01"
"Idle","2021-03-18 06:13:40+01","2021-03-18 06:13:50+01","00:00:10"
"Intermediate","2021-03-18 06:13:50+01","2021-03-18 06:13:52+01","00:00:02"
"Idle","2021-03-18 06:13:52+01","2021-03-18 06:13:59+01","00:00:07"
"Intermediate","2021-03-18 06:13:59+01","2021-03-18 06:14:00+01","00:00:01"
"Idle","2021-03-18 06:14:00+01","2021-03-18 06:14:17+01","00:00:17"
"Active","2021-03-18 06:14:17+01","2021-03-18 06:14:18+01","00:00:01"
"Idle","2021-03-18 06:14:18+01","2021-03-18 06:14:30+01","00:00:12"
"Intermediate","2021-03-18 06:14:30+01","2021-03-18 06:14:32+01","00:00:02"
"Idle","2021-03-18 06:14:32+01","2021-03-18 06:14:48+01","00:00:16"
"Intermediate","2021-03-18 06:14:48+01","2021-03-18 06:14:49+01","00:00:01"
"Active","2021-03-18 06:14:49+01","2021-03-18 06:14:51+01","00:00:02"
"Intermediate","2021-03-18 06:14:51+01","2021-03-18 06:14:56+01","00:00:05"
"Idle","2021-03-18 06:14:56+01","2021-03-18 06:14:57+01","00:00:01"
"Intermediate","2021-03-18 06:14:57+01","2021-03-18 06:14:58+01","00:00:01"
"Active","2021-03-18 06:14:58+01","2021-03-18 06:15:00+01","00:00:02"
"Intermediate","2021-03-18 06:15:00+01","2021-03-18 06:15:02+01","00:00:02"
"Idle","2021-03-18 06:15:02+01","2021-03-18 06:23:41+01","00:08:39"
"Active","2021-03-18 06:23:41+01","2021-03-18 06:23:42+01","00:00:01"
"Intermediate","2021-03-18 06:23:42+01","2021-03-18 06:23:45+01","00:00:03"
"Idle","2021-03-18 06:23:45+01","2021-03-18 06:23:46+01","00:00:01"
"Intermediate","2021-03-18 06:23:46+01","2021-03-18 06:23:47+01","00:00:01"
"Idle","2021-03-18 06:23:47+01","2021-03-18 06:23:48+01","00:00:01"
"Intermediate","2021-03-18 06:23:48+01","2021-03-18 06:23:51+01","00:00:03"
"Active","2021-03-18 06:23:51+01","2021-03-18 06:23:52+01","00:00:01"
"Intermediate","2021-03-18 06:23:52+01","2021-03-18 06:23:53+01","00:00:01"
"Active","2021-03-18 06:23:53+01","2021-03-18 06:23:55+01","00:00:02"
"Intermediate","2021-03-18 06:23:55+01","2021-03-18 06:23:56+01","00:00:01"
"Idle","2021-03-18 06:23:56+01","2021-03-18 06:24:03+01","00:00:07"
"Intermediate","2021-03-18 06:24:03+01","2021-03-18 06:24:04+01","00:00:01"
"Idle","2021-03-18 06:24:04+01","2021-03-18 06:24:10+01","00:00:06"
"Intermediate","2021-03-18 06:24:10+01","2021-03-18 06:24:12+01","00:00:02"
"Idle","2021-03-18 06:24:12+01","2021-03-18 06:24:24+01","00:00:12"
"Intermediate","2021-03-18 06:24:24+01","2021-03-18 06:24:25+01","00:00:01"
"Idle","2021-03-18 06:24:25+01","2021-03-18 06:24:26+01","00:00:01"
"Intermediate","2021-03-18 06:24:26+01","2021-03-18 06:24:27+01","00:00:01"
"Idle","2021-03-18 06:24:27+01","2021-03-18 06:24:31+01","00:00:04"
"Intermediate","2021-03-18 06:24:31+01","2021-03-18 06:24:33+01","00:00:02"
"Active","2021-03-18 06:24:33+01","2021-03-18 06:24:36+01","00:00:03"
"Intermediate","2021-03-18 06:24:36+01","2021-03-18 06:24:42+01","00:00:06"
"Active","2021-03-18 06:24:42+01","2021-03-18 06:24:47+01","00:00:05"
"Intermediate","2021-03-18 06:24:47+01","2021-03-18 06:24:50+01","00:00:03"
"Idle","2021-03-18 06:24:50+01","2021-03-18 06:25:20+01","00:00:30"
"Intermediate","2021-03-18 06:25:20+01","2021-03-18 06:25:21+01","00:00:01"
"Idle","2021-03-18 06:25:21+01","2021-03-18 06:25:27+01","00:00:06"
"Intermediate","2021-03-18 06:25:27+01","2021-03-18 06:25:28+01","00:00:01"
"Active","2021-03-18 06:25:28+01","2021-03-18 06:25:29+01","00:00:01"
"Intermediate","2021-03-18 06:25:29+01","2021-03-18 06:25:31+01","00:00:02"
"Active","2021-03-18 06:25:31+01","2021-03-18 06:25:34+01","00:00:03"
"Intermediate","2021-03-18 06:25:34+01","2021-03-18 06:25:36+01","00:00:02"
"Idle","2021-03-18 06:25:36+01","2021-03-18 06:25:38+01","00:00:02"
"Intermediate","2021-03-18 06:25:38+01","2021-03-18 06:25:42+01","00:00:04"
"Idle","2021-03-18 06:25:42+01","2021-03-18 06:25:44+01","00:00:02"
"Intermediate","2021-03-18 06:25:44+01","2021-03-18 06:25:45+01","00:00:01"
"Idle","2021-03-18 06:25:45+01","2021-03-18 06:25:48+01","00:00:03"
"Intermediate","2021-03-18 06:25:48+01","2021-03-18 06:25:51+01","00:00:03"
"Idle","2021-03-18 06:25:51+01","2021-03-18 06:25:52+01","00:00:01"
"Intermediate","2021-03-18 06:25:52+01","2021-03-18 06:25:53+01","00:00:01"
"Active","2021-03-18 06:25:53+01","2021-03-18 06:25:54+01","00:00:01"
"Intermediate","2021-03-18 06:25:54+01","2021-03-18 06:25:56+01","00:00:02"
"Idle","2021-03-18 06:25:56+01","2021-03-18 06:26:00+01","00:00:04"
"Intermediate","2021-03-18 06:26:00+01","2021-03-18 06:26:06+01","00:00:06"
"Idle","2021-03-18 06:26:06+01","2021-03-18 06:26:41+01","00:00:35"
"Intermediate","2021-03-18 06:26:41+01","2021-03-18 06:26:42+01","00:00:01"
"Idle","2021-03-18 06:26:42+01","2021-03-18 06:26:44+01","00:00:02"
"Intermediate","2021-03-18 06:26:44+01","2021-03-18 06:26:45+01","00:00:01"
"Idle","2021-03-18 06:26:45+01","2021-03-18 06:26:47+01","00:00:02"
"Intermediate","2021-03-18 06:26:47+01","2021-03-18 06:26:48+01","00:00:01"
"Idle","2021-03-18 06:26:48+01","2021-03-18 06:26:52+01","00:00:04"
"Intermediate","2021-03-18 06:26:52+01","2021-03-18 06:26:53+01","00:00:01"
"Active","2021-03-18 06:26:53+01","2021-03-18 06:26:54+01","00:00:01"
"Intermediate","2021-03-18 06:26:54+01","2021-03-18 06:26:55+01","00:00:01"
"Idle","2021-03-18 06:26:55+01","2021-03-18 06:27:48+01","00:00:53"
"Intermediate","2021-03-18 06:27:48+01","2021-03-18 06:27:55+01","00:00:07"
"Idle","2021-03-18 06:27:55+01","2021-03-18 06:27:56+01","00:00:01"
"Intermediate","2021-03-18 06:27:56+01","2021-03-18 06:28:00+01","00:00:04"
"Idle","2021-03-18 06:28:00+01","2021-03-18 06:28:03+01","00:00:03"
"Intermediate","2021-03-18 06:28:03+01","2021-03-18 06:28:04+01","00:00:01"
"Idle","2021-03-18 06:28:04+01","2021-03-18 06:32:03+01","00:03:59"
"Active","2021-03-18 06:32:03+01","2021-03-18 06:32:05+01","00:00:02"
"Intermediate","2021-03-18 06:32:05+01","2021-03-18 06:32:07+01","00:00:02"
"Idle","2021-03-18 06:32:07+01","2021-03-18 06:32:09+01","00:00:02"
"Intermediate","2021-03-18 06:32:09+01","2021-03-18 06:32:11+01","00:00:02"
"Idle","2021-03-18 06:32:11+01","2021-03-18 06:32:13+01","00:00:02"
"Intermediate","2021-03-18 06:32:13+01","2021-03-18 06:32:17+01","00:00:04"
